Fecha;Sexo;Área o sector de donde proviene?;Área o dependencia donde fue atendido:;Nombre del  funcionario que lo atendió:;quitar espacios;estandarizar (mayus o minus);quitar tildes;Combinado;¿Cuánto tiempo tuvo que esperar para ser atendido?;¿Cómo fue el trato y la atención que recibió por parte del funcionario que lo atendió?;¿Cómo califica su satisfacción respecto de la información suministrada?;¿Las instaciones donde fue atendido son cómodas y seguras?;¿Los horarios de atención al público son puntuales, adecuados y respetados?;¿Cómo calificaría su nivel de satisfacción, frente a la prestación de servicios de la Alcaldía?;Comentarios o Sugerencias;Edad;¿Pertenece a un grupo Poblacional con enfoque diferencial ?;Ejertcicio 1.1;Ejertcicio 1.2;Ejertcicio 1.3;Ejertcicio 2.1;Ejertcicio 2.2
05/31/2023 06:48:17 PM;Mujer;Rural;Secretaria de Salud;Sonia Velosa;Secretaria de Salud;SECRETARIA DE SALUD;SECRETARIA DE SALUD;SECRETARIA DE SALUD;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Sonia;Velosa;SONIA VELOSA;Secretaria de Salud;secretaria de salud
05/30/2023 02:41:48 PM;Mujer;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 20 a 30 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
05/30/2023 02:20:28 PM;Mujer;Rural;Secretaria de Salud;Jorge Bello;Secretaria de Salud;SECRETARIA DE SALUD;SECRETARIA DE SALUD;SECRETARIA DE SALUD;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Jorge;Bello;JORGE BELLO;Secretaria de Salud;secretaria de salud
05/25/2023 05:22:19 PM;Hombre;ubate;Secretaria de Planeación;Laura calderon;Secretaria de Planeación;SECRETARIA DE PLANEACIÓN;SECRETARIA DE PLANEACION;SECRETARIA DE PLANEACION;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Laura;calderon;LAURA CALDERON;Secretaria de Planeación;secretaria de planeación
05/25/2023 05:19:42 PM;Hombre;Rural;Comisaría de Familia;Nancy Rojas Nubia Carrillo;Comisaría de Familia;COMISARÍA DE FAMILIA;COMISARIA DE FAMILIA;COMISARIA DE FAMILIA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Nancy;Rojas;NANCY ROJAS;Comisaría de Familia;comisaría de familia
05/25/2023 04:36:55 PM;Hombre;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
05/24/2023 06:33:02 PM;Hombre;Rural;Secretaria de Hacienda;Nelly Perez;Secretaria de Hacienda;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Nelly;Perez;NELLY PEREZ;Secretaria de Hacienda;secretaria de hacienda
05/23/2023 09:40:44 PM;Hombre;Rural;Inspección de policia;Alfonso Ahumada;Inspección de policia;INSPECCIÓN DE POLICIA;INSPECCION DE POLICIA;INSPECCION DE POLICIA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Alfonso;Ahumada;ALFONSO AHUMADA;Inspección de policia;inspección de policia
05/23/2023 08:25:23 PM;Hombre;Rural;Secretaria de Minas y ambiente;Marina Neme;Secretaria de Minas y ambiente;SECRETARIA DE MINAS Y AMBIENTE;SECRETARIA DE MINAS Y AMBIENTE;SECRETARIA DE MINAS Y AMBIENTE;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Marina;Neme;MARINA NEME;Secretaria de Minas y ambiente;secretaria de minas y ambiente
05/17/2023 03:47:09 PM;Mujer;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
05/16/2023 02:54:58 PM;Mujer;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
05/15/2023 09:17:24 PM;Hombre;Rural;Secretaria de cultura y deportes;Cristian Castro;Secretaria de cultura y deportes;SECRETARIA DE CULTURA Y DEPORTES;SECRETARIA DE CULTURA Y DEPORTES;SECRETARIA DE CULTURA Y DEPORTES;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Cristian;Castro;CRISTIAN CASTRO;Secretaria de cultura y deportes;secretaria de cultura y deportes
5/12/2023 15:59;Mujer;Rural;Secretaria de Salud;Sonia Veloza;Secretaria de Salud;SECRETARIA DE SALUD;SECRETARIA DE SALUD;SECRETARIA DE SALUD;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Sonia;Veloza;SONIA VELOZA;Secretaria de Salud;secretaria de salud
5/12/2023 15:18;Hombre;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
5/12/2023 15:08;Mujer;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
5/11/2023 18:24;Hombre;Rural;Secretaria de Hacienda;Nelly Perez;Secretaria de Hacienda;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Nelly;Perez;NELLY PEREZ;Secretaria de Hacienda;secretaria de hacienda
5/11/2023 15:42;Hombre;Rural;Secretaria de Hacienda;Nelly Perez;Secretaria de Hacienda;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;SECRETARIA DE HACIENDA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Nelly;Perez;NELLY PEREZ;Secretaria de Hacienda;secretaria de hacienda
5/11/2023 15:10;Mujer;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
5/09/2023 17:20;Mujer;Rural;Secretaria de Salud;Carolina Perez;Secretaria de Salud;SECRETARIA DE SALUD;SECRETARIA DE SALUD;SECRETARIA DE SALUD;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Carolina;Perez;CAROLINA PEREZ;Secretaria de Salud;secretaria de salud
5/09/2023 16:57;Mujer;Rural;Comisaría de Familia;Nancy Rojas;Comisaría de Familia;COMISARÍA DE FAMILIA;COMISARIA DE FAMILIA;COMISARIA DE FAMILIA;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Nancy;Rojas;NANCY ROJAS;Comisaría de Familia;comisaría de familia
5/09/2023 15:37;Mujer;Rural;Secretaria de Salud;Jorge Bello;Secretaria de Salud;SECRETARIA DE SALUD;SECRETARIA DE SALUD;SECRETARIA DE SALUD;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Jorge;Bello;JORGE BELLO;Secretaria de Salud;secretaria de salud
5/09/2023 15:27;Hombre;Rural;Secretaria de Planeación;Laura calderon;Secretaria de Planeación;SECRETARIA DE PLANEACIÓN;SECRETARIA DE PLANEACION;SECRETARIA DE PLANEACION;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Laura;calderon;LAURA CALDERON;Secretaria de Planeación;secretaria de planeación
5/09/2023 14:57;Hombre;Rural;Sisben;Yilson Rojas;Sisben;SISBEN;SISBEN;SISBEN;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Yilson;Rojas;YILSON ROJAS;Sisben;sisben
5/05/2023 22:44;Hombre;Urbana;Secretaria de Planeación;Laura calderon;Secretaria de Planeación;SECRETARIA DE PLANEACIÓN;SECRETARIA DE PLANEACION;SECRETARIA DE PLANEACION;De 1 a 10 Minutos;Buena;Buena;Buena;Si;Buena;Ninguna;27-59 Años (Adulto);Ninguna;Laura;calderon;LAURA CALDERON;Secretaria de Planeación;secretaria de planeación
