Institución Educativa Distrital -IED;Deporte;Sexo;Edad (años cumplidos);Peso (kg);Talla (cm);Talla Sentado (cm);Envergadura (cm);Balón Medicinal;Salto Largo;10 x 5 (s);30 m lanzados (s);Wells;Leger;Velocidad Máxima (Course Navette - km h^-1)
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;40;148;77;149;305;113;19.5;7;30;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;53;158;82;158;400;142;17.8;6.2;18;NA;NA
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;46;156;80;153;310;145;19.3;6.5;29;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;53;147;77;146;335;129;19.7;7.1;22;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;51;158;83;157;360;148;17.2;6.2;22;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;51;155;80;153;315;143;19.1;6.4;29;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;52;151;79;152;327;122;18.5;6.3;21;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;49;152;77;151;285;129;17.2;6.9;24;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;47;157;80;155;305;131;18.9;6.9;21;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;47.3;151.1;76.6;157;239;118.3;23.9;6.24;23.5;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;42.1;155.8;81.5;148.7;315;129.4;24.3;7.34;32.4;4;10
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;38.2;153.8;78.7;157.5;334;107.5;21.5;6.31;32;2;9
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;46.1;155.6;79.7;154.8;302;102.3;23.3;7.88;31.5;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Hombre;12;45.5;150.2;78.1;154.8;304;134.9;19.2;5.38;21.2;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;44.7;147.4;76.4;154;268;103.6;20.8;6.47;22.7;4;10
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;54.4;150.8;79.6;154.4;262;107;21.6;5.57;31.4;3;9.5
COL OEA (IED);AJEDREZ;Mujer;12;44.9;158;77;152;320;148;22.03;5.44;24;3;9.5
COL OEA (IED);AJEDREZ;Mujer;12;38.4;152;79;135;155;119;23.8;5.37;36;2;9
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Mujer;12;51.4;147;82;155;207;116;31.09;5.1;26;5;10.5
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Hombre;12;41.9;154;83;148;189;147;31.09;5.1;29;5;10.5
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Hombre;12;34.1;155;71;150;197;166;18.62;4.83;26;6;11
COL ANTONIO NARI√ëO (IED);ATLETISMO;Mujer;12;57.2;150.8;75;159;180;108;25;5.3;23;3;9.5
COL ANTONIO NARI√ëO (IED);ATLETISMO;Hombre;12;41.6;140;73;138;360;145;17.8;6.55;24;5;10.5
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;34.9;137;72;139;280;118;20.9;6.73;23;4;10
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;37.5;159;75;157;380;185;16.5;4.69;18;8;12
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;36.3;147;77;153;300;146;16.8;4.8;21;7;11.5
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;39.9;149;75;144;390;125;19.13;4.87;25;6;11
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;34.6;148;81;145;330;121;19.9;5.93;34;6;11
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;38.6;149;71;150;310;120;16.5;4.82;18;5;10.5
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;30.8;139;71;146;420;129;19;5.25;21;2;9
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;33.09;145;66;131;320;112;18.1;6.31;29;3;9.5
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;42;153;76;147;510;150;20.35;4.31;15;4;10
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;34.3;154;63;152;460;185;20.68;5.2;25;7;11.5
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;30.4;141;66;140;420;190;20.91;4.6;30;7;11.5
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;43.3;140;74;142;340;130;23.5;7.1;18;2;9
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;45.2;141;64;142;320;135;19.3;9.2;19;6;11
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;42.1;149;77;150;320;160;18.5;7.5;22;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;36;141;78;143;210;130;24.98;6.97;6;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;44.8;152;84.4;161;290;126;21.88;5.2;13;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;37.5;150;79.9;135;340;110;24.09;5.6;7;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Hombre;12;29.6;135;77.8;135;330;164;19.94;4.89;4;4;10
COL COMPARTIR RECUERDO (IED);ATLETISMO;Hombre;12;36.1;144;66;141;290;122;22.69;6.96;6;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;38;151;71.8;152;250;100;26.42;6.26;10;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Hombre;12;34.4;131;72;143;520;136;22.7;6.74;5;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;36;141;78;143;210;130;24.98;6.97;6;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;44.8;152;84.4;161;290;126;21.88;5.92;13;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Mujer;12;37.5;150;79.9;135;340;110;24.09;5.6;7;3;9.5
COL COMPARTIR RECUERDO (IED);ATLETISMO;Hombre;12;29.6;135;77.8;135;330;164;19.94;4.89;4;4;10
COL COMPARTIR RECUERDO (IED);ATLETISMO;Hombre;12;34.4;131;72;143;520;136;22.7;6.74;5;3;9.5
COL DELIA ZAPATA OLIVELLA (IED);ATLETISMO;Hombre;12;32;140;84;146;332;168;22.3;7.31;23.5;4;10
COL FERNANDO MAZUERA VILLEGAS (IED);ATLETISMO;Mujer;12;33.5;140;74;147;360;129;22.61;5.9;7;5;10.5
COL FERNANDO MAZUERA VILLEGAS (IED);ATLETISMO;Mujer;12;53;155;65;132;370;110;24.64;6.22;4;5;10.5
COL FERNANDO MAZUERA VILLEGAS (IED);ATLETISMO;Mujer;12;48.9;152;65;154;437;120;23.08;6.83;14;6;11
COL FERNANDO MAZUERA VILLEGAS (IED);ATLETISMO;Mujer;12;50.2;143;60;145;385;90;22.93;6.43;8;4;10
COL INST TEC JUAN DEL CORRAL (IED);ATLETISMO;Mujer;12;45.1;155;78.5;161;420;108;21.03;6.1;18;2;9
COL JOSE MARTI (IED);ATLETISMO;Hombre;12;44.6;156.5;80.5;158;380;140;18.72;5.18;12;NA;NA
COL JOSE MARTI (IED);ATLETISMO;Mujer;12;47.4;164;79.9;155.3;400;151;17.12;4.62;27;4;10
COL JOSE MARTI (IED);ATLETISMO;Mujer;12;43.3;151.5;77.5;152;280;113;19.71;6.19;24;NA;NA
COL JOSE MARTI (IED);ATLETISMO;Mujer;12;39.6;142.1;73;149;240;115;18.58;7.12;18;1;8.5
COL JOSE MARTI (IED);ATLETISMO;Hombre;12;38.8;148;76;137;410;185;19.39;5.24;24;3;9.5
COL LUIS ANGEL ARANGO (IED);ATLETISMO;Mujer;12;53.1;156;81.6;150;420;156;16.12;6.1;28;2;9
COL MANUEL DEL SOCORRO RODRIGUEZ (IED);ATLETISMO;Hombre;12;45;148;115;153;430;170;21.9;4.6;28;4;10
COL MANUEL DEL SOCORRO RODRIGUEZ (IED);ATLETISMO;Mujer;12;43;144;110;148;480;155;19.83;5.6;15;4;10
COL MANUEL ELKIN PATARROYO (IED);ATLETISMO;Hombre;12;44.9;157;93;154;500;190;18.62;5.04;24;6;11
COL MANUEL ELKIN PATARROYO (IED);ATLETISMO;Mujer;12;39.7;151;83;150;430;130;19.45;6.46;27;6;11
COL REPUBLICA EEUU DE AMERICA (IED);ATLETISMO;Hombre;12;36.5;147;81;144;442;175;19;5.3;25;10;13
COL REPUBLICA EEUU DE AMERICA (IED);ATLETISMO;Mujer;12;48.5;149;80;155;308;102;21;5.95;24;6;11
COL REPUBLICA EEUU DE AMERICA (IED);ATLETISMO;Mujer;12;37;142;76;144;300;152;19;5.7;16;4;10
COL REPUBLICA EEUU DE AMERICA (IED);ATLETISMO;Mujer;12;44.5;155;83;155;425;168;21;5.71;16;4;10
COL TOMAS CARRASQUILLA (IED);ATLETISMO;Hombre;12;49;143;63;149;428;143;21.4;4.6;13;2;9
COL TOMAS CARRASQUILLA (IED);ATLETISMO;Hombre;12;52;153;68;169;400;142;21.11;4.88;26;3;9.5
COMUNIDAD1;ATLETISMO;Mujer;12;39.8;139;81;160;410;145;23;6.7;21;5;10.5
COMUNIDAD1;ATLETISMO;Hombre;12;33.1;135;71;134;370;142;19.61;6.1;30.5;9;12.5
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;34.2;140;71;141;360;173;21.28;5.56;31;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;29;130;66;137;265;90;25;5.65;8;2;9
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;48;135;76;146;240;210;27.8;6.1;19;2;9
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;40;150;75;165;310;154;24.1;6.08;25;5;10.5
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;39.7;150;76;155;295;142;28.41;5.47;4;6;11
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;43.4;152;77;154;445;152;29.84;4.96;24;5;10.5
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;51;150;65;150;320;210;24.1;5.06;24;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;41;155;70;166;520;170;22.93;5.48;24;5;10.5
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;31.7;140;71;141;390;157;21.03;5.89;33;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;36.5;140;71;142;440;165;17.26;5.42;23;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;34.3;144;71;147;330;158;21.42;5.26;33;7;11.5
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;38;154;76;159;320;145;19.46;4.87;17;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;47;157;81;160;432;190;19.43;5.12;19;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;42;158;82;154;328;144;21.82;6.34;21;4;10
COL ANTONIO BARAYA (IED);BALONCESTO;Mujer;12;50;157;82;157;420;150;20;6;23;5;10.5
COL ANTONIO BARAYA (IED);BALONCESTO;Hombre;12;38;155;75;140;438;160;20.11;5.02;24;4;10
COL ANTONIO NARI√ëO (IED);BALONCESTO;Hombre;12;52.2;164;81.5;167;420;170;18.41;5;27;7;11.5
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;42.2;155;87;155;204;133;18.98;6.28;34;5;10.5
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;51.3;145;78;150;404;122;17.86;5.19;13;6;11
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;61.3;163;87;163;173;118;27.6;4.91;21;5;10.5
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;42.8;150;77;152.3;316;132;20.66;5.72;22;4;10
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;41.1;160;76;150.1;354;140;22.61;5.57;23;3;9.5
COL ANTONIO NARI√ëO (IED);BALONCESTO;Hombre;12;40.7;150;75.36;148;387.4;157.2;18.64;4.97;19.7;4;10
COL ANTONIO NARI√ëO (IED);BALONCESTO;Mujer;12;42.81;150;76;152.4;324;131;21.43;5.83;23;3;9.5
COL CASTILLA (IED);BALONCESTO;Hombre;12;50.1;153;81;160;380;145;19.51;4.79;19;5;10.5
COL CASTILLA (IED);BALONCESTO;Hombre;12;55.3;151;75;150;270;122;18.92;7.46;20;1;8.5
COL CASTILLA (IED);BALONCESTO;Mujer;12;46.9;150;78;148;270;91;18.54;5.4;21;3;9.5
COL CASTILLA (IED);BALONCESTO;Hombre;12;34.3;137;70;127;220;106;16.91;5.65;19;1;8.5
COL CASTILLA (IED);BALONCESTO;Hombre;12;52.3;160;83;146;370;152;18.81;4.93;21;4;10
COL CASTILLA (IED);BALONCESTO;Hombre;12;53;154;80;149;270;129;19.63;4.93;25;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;46.6;145;76;148;250;90;21.85;5.8;27;4;10
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;36;148;76;147;320;174;21.07;4.81;26;7;11.5
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;60;156;80;156;340;130;20.15;4.94;17;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;38;147;76;148;240;147;19.12;5.41;22;4;10
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;30.2;134;69;132;210;104;20.25;6.23;21;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);BALONCESTO;Mujer;12;40.1;147;74;149;265;150;23.9;6.37;18;3;9.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;51.3;150;78;151;490;140;20;5.05;17;4;10
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;49.4;159;83;154;480;99;29;5.05;21;6;11
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;45.3;149;76;149;410;122;20.1;5.07;15;5;10.5
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;45.2;157;82;155;380;118;22.9;5.05;26;5;10.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;45.1;149;77;148;300;146;24.5;5.07;23;2;9
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;36.9;140;70;143;215;146;20.8;5.02;16;4;10
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;34.7;144;76;141;210;146;20.7;5.02;27;3;9.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;33;134;70;132;315;144;19;5.03;15;5;10.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;30.5;142;71;139;210;132;24.7;5.09;14;4;10
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;45;157;78;148;320;158;20;5.73;17;4;10
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;52;152.4;80.3;148;281;123;18;5.55;21;3;9.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;47;159;83;140;250;162;19;5.2;20;7;11.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;46.9;157;75.9;158;305;173;22.3;6.13;17;6;11
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;45.7;153;79.3;148;310;110;23.7;5.32;17;6;11
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;47.3;148;72.2;153;265;131;24.6;6.16;31;5;10.5
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;42.4;158;82.3;146;290;143;22.4;4.9;19;6;11
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;52.1;149;71.8;146;340;147;20.5;6.1;19;3;9.5
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;43.4;152;78.7;151;330;141;19.5;5.92;14;5;10.5
COL COLOMBIA VIVA (IED);BALONCESTO;Hombre;12;39.6;147;78.3;158;333;150;19.2;6.14;24;4;10
COL COLOMBIA VIVA (IED);BALONCESTO;Mujer;12;40.2;162;82.3;155;375;140;20.9;5.72;22;5;10.5
COL CUNDINAMARCA (IED);BALONCESTO;Hombre;12;33;134;84;133;300;140;22.7;6.64;12;2;9
COL DE CULTURA POPULAR (IED);BALONCESTO;Mujer;12;52.6;164.7;86.1;162;250;119;21.56;6.17;22;2;9
COL DE CULTURA POPULAR (IED);BALONCESTO;Mujer;12;49;151.5;79.7;158.3;340;119;19.56;6.2;20;3;9.5
COL DELIA ZAPATA OLIVELLA (IED);BALONCESTO;Hombre;12;46.7;143;75;148;320;170;19.58;5.63;25;4;10
COL DELIA ZAPATA OLIVELLA (IED);BALONCESTO;Hombre;12;40.5;143;70;142;260;128;20.15;5.7;17;5;10.5
COL DELIA ZAPATA OLIVELLA (IED);BALONCESTO;Hombre;12;46.7;154;75;153;310;158;17.78;5.21;15;5;10.5
COL DELIA ZAPATA OLIVELLA (IED);BALONCESTO;Mujer;12;31.5;148;73;148;310;159;21.21;4.93;20;3;9.5
COL DELIA ZAPATA OLIVELLA (IED);BALONCESTO;Mujer;12;51.4;157;84;158;360;168;20.69;5.25;15;4;10
COL EDUARDO SANTOS (IED);BALONCESTO;Hombre;12;34;144;70;146;208;158;18.75;4.97;17;7;11.5
COL EDUARDO SANTOS (IED);BALONCESTO;Hombre;12;44.4;150;76;153;341;148;16.8;6.8;23;2;9
COL EDUARDO SANTOS (IED);BALONCESTO;Hombre;12;39.9;152;74.5;153;320;142;23.35;5.2;22;2;9
COL EDUARDO SANTOS (IED);BALONCESTO;Hombre;12;50.5;157;78;162;346;141;21.03;5.92;13;4;10
COL EDUARDO SANTOS (IED);BALONCESTO;Hombre;12;34.5;150;65.5;149;285;205;24;5.2;4;1;8.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;41;148;73;149;530;130;20.06;6.76;15;6;11
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;53;156;80;153;520;126;24.44;5.13;16;6;11
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;36;143;73;142;340;110;20.73;6;10;4;10
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;56;160;80;166;440;100;23.9;7.95;17;3;9.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;55;156;84;154;510;105;21.28;6.24;20;6;11
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;45;145;68;140;410;120;32.19;6.24;18;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;45;139;71;140;430;152;22.9;6.8;18;7;11.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;44;149;68;150;415;162;24.8;6.12;12;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;61;158;82;157;455;120;21;8.6;27;6;11
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;46;150;77;149;305;150;20.6;5.1;26;8;12
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;46;149;74;134;345;169;18.74;5.52;13;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;50;154;80;152;304;114;18.02;5.67;21;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;49;151;82;149;267;134;31.54;6.98;23;3;9.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;46;148;79;147;245;134;22.12;6.34;22;4;10
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;47;157;82;155;250;120;21.2;6.6;17;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;41;152;76;151;346;169;24.42;5.52;17;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;46;159;80;158;300;133;21.34;6.22;17;4;10
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;52;154;76;150;267;132;22.3;6.17;17;2;9
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;45;152;82;148;350;134;19.9;6.12;11;3;9.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;52;163;85;165;272;113;21.8;5.4;8;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;47;163;83;164;455;173;19.6;6.7;19;4;10
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;45;150;79;150;280;167;22;6.12;19;3;9.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Hombre;12;48;150;78;153;320;184;18.5;4.8;16;5;10.5
COL FEDERICO GARCIA LORCA (IED);BALONCESTO;Mujer;12;46;163;83;164;240;100;21;5.9;23;3;9.5
COL GUSTAVO RESTREPO (IED);BALONCESTO;Mujer;12;43;151;76;150;488;110;21.45;9.8;15;4;10
COL GUSTAVO RESTREPO (IED);BALONCESTO;Hombre;12;45;160;74;155;348;134;24.05;5.25;10;1;8.5
COL GUSTAVO RESTREPO (IED);BALONCESTO;Mujer;12;42;153;69;149;482;130;20.2;6.15;15;5;10.5
COL GUSTAVO RESTREPO (IED);BALONCESTO;Mujer;12;39;151;71;153;163;130;20.89;6.63;12;4;10
COL GUSTAVO RESTREPO (IED);BALONCESTO;Hombre;12;43;159;69;157;312;133;19.55;4.95;12;1;8.5
COL INST TEC DISTRITAL JULIO FLOREZ (IED);BALONCESTO;Mujer;12;54;156;67;154;300;150;27;5.4;19;3;9.5
COL INST TEC DISTRITAL JULIO FLOREZ (IED);BALONCESTO;Mujer;12;44;160;70;163;295;161;23;5.15;32;3;9.5
COL INST TEC DISTRITAL JULIO FLOREZ (IED);BALONCESTO;Mujer;12;39;146;61;148;368;133;20;5.48;30;4;10
COL INST TEC INDUSTRIAL PILOTO (IED);BALONCESTO;Mujer;12;46.7;151;80;148;273;108;22.59;6.65;22;3;9.5
COL INST TEC INTERNACIONAL (IED);BALONCESTO;Hombre;12;47.9;154;81;148.5;328;147;22.87;5.44;23;3;9.5
COL INST TEC INTERNACIONAL (IED);BALONCESTO;Hombre;12;38;148;82;145;175;132;23.18;5.35;7;1;8.5
COL INST TEC INTERNACIONAL (IED);BALONCESTO;Mujer;12;37;142;123;146;256;115;24.2;6.24;16;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;46.7;154;80;149;235;114;25.43;5.04;28;3;9.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;40.8;137;76.8;138;252;126;22.19;5.11;12;3;9.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;46.4;153;76.5;154;256;139;22.9;5.22;20;4;10
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;61.7;154;81;158;380;126;23.45;5.51;34;5;10.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;35.3;145;72.3;148;314;162;20.11;4.72;21;9;12.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;48.5;159;79.2;160;483;193;18.94;4.44;28;8;12
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;35.4;148;73.2;148;280;123;24.07;5.27;23;4;10
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;34.7;143;71;143;219;135;23.66;5.19;20.1;4;10
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;46.8;147;79;166;295;100;23.6;4.9;31;5;10.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;46.4;156;80.5;158;368;148;22.48;4.74;26.1;6;11
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;48.5;153;76.2;153;469;149;22.67;5.4;20.5;3;9.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;28.6;136;66.7;140;305;123;24.07;5.12;18.5;3;9.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;37.8;147;74;147;430;150;22.43;5.21;20;5;10.5
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;47.7;156;75;150;216;143;21.86;5.27;26;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;32.9;151;76;152;240;162;21.94;5.57;13;4;10
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;38.2;146;70;152;400;163;23.3;5.78;22;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;40.9;153;74;158;320;150;21.13;4.94;12;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Hombre;12;30.2;141;74;164;385;169;20.77;4.91;19;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;34.1;160;82;164;250;165;22.35;4.9;15;4;10
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;36.1;154;75;155;310;160;20.77;4.8;18;2;9
COL JOSE ASUNCION SILVA (IED);BALONCESTO;Mujer;12;61;156;75;159;265;98;23.91;6.38;25;3;9.5
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;46;151;77;151;371;114;26.6;5.12;18;4;10
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;30;150;75;149;305;152;24;4.95;23.5;7;11.5
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;33;158;80;158;223;150;23.55;5.23;16;3;9.5
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;33;148;77;146;253;142;24.08;5.17;10;4;10
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;49.3;156;90.55;162;190;121;24.21;5.1;31;5;10.5
COL JOSE FELIX RESTREPO (IED);BALONCESTO;Hombre;12;42;148;82;150;355;110;32.03;5.6;11;5;10.5
COL JOSE MARTI (IED);BALONCESTO;Mujer;12;38.2;136;67;133;283;125;22.86;6.54;12;5;10.5
COL JOSE MARTI (IED);BALONCESTO;Mujer;12;41.7;132;72;136;241;125;16.85;6.1;10;1;8.5
COL JOSE MARTI (IED);BALONCESTO;Hombre;12;48.9;157;83;150;232;140;20.55;5.7;6;3;9.5
COL JOSE MARTI (IED);BALONCESTO;Hombre;12;43.6;147;77;152;260;120;18.58;6.33;12;4;10
COL JOSE MARTI (IED);BALONCESTO;Mujer;12;50.4;155;81;158;295;130;22.35;7.66;5;11;13.5
COL JOSE MARTI (IED);BALONCESTO;Mujer;12;45.3;154;77;158;220;170;19.79;5.53;6;10;13
COL MANUELA BELTRAN (IED);BALONCESTO;Hombre;12;62;157;73;156;329;130;21;5.7;4;3;9.5
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;43;157;71;163;323;133;24;6.2;21;8;12
COL MANUELA BELTRAN (IED);BALONCESTO;Hombre;12;41;149;67;151;338;137;24;6;16;7;11.5
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;43;152;69;159;327;145;22;5.3;17;5;10.5
COL MANUELA BELTRAN (IED);BALONCESTO;Hombre;12;40.3;147;78;147;308;142;22;5.6;8;6;11
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;40.2;145;78;149;303;127;25;6.4;7;6;11
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;48.3;155;82;155;303;127;23;6.6;13;3;9.5
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;43.7;152;73;162;301;131;21;6.1;28;6;11
COL MANUELA BELTRAN (IED);BALONCESTO;Mujer;12;47.1;152;71;157;302;123;22;5.9;17;4;10
